vietnamese	english
bị nấu chảy	liquesce
bị nặng đầu	head
bị nướng	grill
bị o bế	incarcerated
bị phạt đòn	lash
bị phiền hà	annoyed
bị phóng lên	upcast
bị phân bậc	graded
bị phân cực	polarized
bị phân ly	dissociated
bị phân ra	divi
bị phân tích	dissociated
bị phê bình	mat
bị quyến rũ	took
bị quấy rầy	annoyed
bị quên đi	mind
bị quở trách	mat
bị rạn nứt	crazed
bị ruồng bỏ	outcast
bị rút ngắn	contracted
bị rập vào	incuse
bị rối	foul
bị rỗ	abscessed
bị rời ra	disconnected
bị sa lầy	bed
bị sa đoạ	viciously
bị san phẳng	unbuilt
bị say nắng	sunstruck
bị sét đánh	thunderstruck
bị siết chặt	clinch
bị sóng xô	scend
bị suy biến	decomposed
bị suy nhược	marasmic
bị sụp đổ	wreck
bị sụt sức	decline
bị sâu	carious
bị sâu mọt	vermicular
bị sâu đục	wormy
bị sẩy	aborted
bị sốt	pyrexic
bị sứt mẻ	singe
bị tan vỡ	wreck
bị thải hồi	ax
bị thải về	discharge
bị thiêu đốt	grill
bị thiến	neuter
bị thiếu	censorred
bị thiệt	bad
bị thất bại	back
bị thất thế	cloud
bị thối hoại	mortify
bị thương	crocked
bị thương nhẹ	cushy
bị tiêu mòn	dissipated
bị tiêu rồi	kaput
bị tiêu tan	exploded
bị tìm bắt	wanted
bị tràn ngập	swamp
bị treo cổ	dance
bị trục trặc	deranged
bị trật khớp	disjointed
bị tu tội	cloud
bị tụt cấp	derogate
bị tụt mức	derogate
bị tống giam	incarcerated
bị tổn hại	hurt
bị tổn thất	singe
bị tổn thương	hurt
bị tắc	clog
bị tắc nghẽn	foul
bị tước	forfeit
bị tước mất	forlorn
bị uổng phí	dissipated
bị viêm mắt	ophthalmic
bị viêm phổi	pneumonic
bị vấy bùn	mudded
bị vỡ	broken
bị vướng	foul
bị vượt qua	surmounted
bị vứt bỏ	disused
bị xuyên tạc	warped
bị xâm thực	corrade
bị xây cát	scored
bị xơ cứng	sclerose
bị xước	scored
bị xử chém	block
bị xử tử	suffer
bị ấn xuống	depressed
bị ẩm	dampen
bị ô danh	blood-stained
bị ố bẩn	spotted
bị ăn mòn	fret
bị ăn đạn	stop
bị đau khổ	hit
bị đau nhức	achy
bị đau phổi	pulmonic
bị đay	gunny
bị đào lên	unburied
bị đá đít	boot
bị đánh bại	kiss
bị đánh chết	neck
bị đánh gục	kiss
bị đánh đập	bean
bị đánh đắm	wreck
bị đo ván	down
bị đoản mạch	short-circuit
bị đoạ đày	damned
bị đóng băng	ice-bound
bị đóng lại	unopened
bị đọng bùn	silted
bị đuổi	air
bị đuổi học	ax
bị đuổi ra	gate
bị đuổi đi	bird
bị đút lót	corrupt
bị đục lỗ	punched
bị đâm thủng	puncture
bị đập tan	exploded
bị để ý	marked
bị đốn	abrupt
bị đốt	burnt
bị đổ	wreck
bị đổ nhào	keel
bị đổi màu	discolor
bị động	passive
bị đắm	cast
bị đưa ra toà	mat
bị đứt gãy	shorn
bị ướt	dampen
bị ướt nhũn	ret
bịa đặt	feign
bịp bợm	swindle
bịp hơn	outbluff
bịt miệng	gag
bịt mắt	seel
bịt nắp	cap
bịt đi	burke
bịt đầu	tag
blenđơ	blende
bom côban	theratron
bom hydrô	fusion-bomb
bom hơi thối	stink-bomb
bom hơi độc	gas-bomb
bom không nổ	dud
bom nguyên tử	a-bomb
bom nổ chậm	time-bomb
bom thư	letter-bomb
bom tấn	blockbuster
boocsơ	borsch
boong dưới	under-deck
boong trước	foredeck
boongalô	bungalow
bound v. cơ	vortex
bò cái tơ	heifer
bò không sừng	poll
bò lê	crawl
bò lê ra	crawl
bò non thiến	steer
bò rừng bizon	bison
bò rừng cái	grunting-cow
bò rừng đực	grunting-ox
bò sữa	milker
bò thiến	bullock
bò thần	brahminee
bò tây tạng	yak
bò vỗ béo	mart
bò đấu	gone
bò đực	bull
bò đực con	bull-calf
bò đực non	steer
bò đực thiến	stag
bòn rút hết	drain
bòn tiền	soak
bó  bằng nẹp	splint
bó buộc	coercion
bó băng	unbind
bó bằng sắt	iron-bound
bó chặt	cramp
bó cỏ khô	bottle
bó cây	saucisse
bó hoa thơm	nosegay
bó que sắt	fagot
bó rơm	bottle
bó sát người	close-bodied
bó sợi nấm	coremium
bó thư	mailbag
bó ống	drain-pipe
bóc gỗ bìa	slabbing
bóc lột	milk
bóc lột.	exploitation
bóc trần	bare
bóc tấm	delaminate
bóc vỏ cây	unbark
bói cầu	scry
bón macnơ	marl
bón phân	dung
bón vôi	lime
bóng bẩy	allegorically
bóng băng	puck
bóng chuyền	volleyball
bóng chơi sini	shinny
bóng cây	umbrage
bóng hơn	outlustre
bóng lên	polish
bóng lờ mờ	loom
bóng mây	cloud
bóng mây u ám	lour
bóng mờ	ghost
bóng nước	waterpolo
bóng quần	squash
bóng râm	shadow
bóng rổ	netball
bóng tối	dark
bóng vồ	croquet
bóng đái	vesica
bóng đen	cloud
bóng đè	incubi
bóng đèn	bulb
bóp chết	close
bóp chặt	cramp
bóp cổ	choke
bóp cổ chết	choke
bóp hầu	throttle
bóp nặn	screw
bót đi giày	shoe-lift
bõ công	while
bỏ bùa mê	hex
bỏ bê	neglect
bỏ bễ	effervescible
bỏ băng	undress
bỏ bơ vơ	desolate
bỏ bớt	clip
bỏ chữ chữa	stet
bỏ cuộc	card
bỏ dây cắm	uncurb
bỏ dấu ngoặc	unbracketed
bỏ dở	abort
bỏ không	void
bỏ không xét	dismiss
bỏ khắp	run
bỏ kim băng	unpin
bỏ lề	emarginate
bỏ lều	untent
bỏ lơ	overjump
bỏ lỡ	let
bỏ lỡ cơ hội	bus
bỏ lỡ mất	balk
bỏ lướt	drop
bỏ lượt	pass
bỏ mà đi	sheer
bỏ mặc	let
bỏ ngoặc đơn	unparenthesized
bỏ nhiệm vụ	slate
bỏ nhẫn ra	unring
bỏ phiếu	cast
bỏ phiếu bác	vote
bỏ phiếu đen	pip
bỏ qua bên	overule
bỏ qua được	negligible
bỏ quên	omit
bỏ răng	uncog
bỏ rơi	shed
bỏ rơi ai	mitt
bỏ rơi bạn	rat
bỏ rượu	off
bỏ thanh cỡ	unlead
bỏ thuốc lá	off
bỏ thuốc độc	poison
bỏ trốn	track
bỏ trống	odd
bỏ trường	leave
bỏ túi được	pocketable
bỏ uổng	lost
bỏ vào bể	vat
bỏ vào hộp	box
bỏ vào rổ	basket
bỏ vấu	uncog
bỏ vốn cho	finance
bỏ xuống	let
bỏ đá lát	untile
bỏ đảng	rat
bỏ đạo	defect
bỏ đi	hop
bỏ đi ra	walk
bỏ đinh ghim	unpin
bỏ đinh tán	unrivet
bỏ đói	clem
bỏ đồ dằn	unballast
bỏ đời	toe
bỏ đường	sugar
bỏ được	removable
bỏng cấp hai	second-degree
bọ bổ củi	elater
bọ cánh cứng	beetle
bọ chỉ đào	bloodworm
bọ dài đuôi	bristletail
bọ gậy	wriggler
bọ đuôi bật	springtail
bọc bằng da	leather
bọc bằng lông	feather
bọc bằng nỉ	felt
bọc bằng tã	swaddle
bọc giao tử	gametangium
bọc giấy	paper
bọc kim thuộc	armoring
bọc sắt	iron
bọc thật dày	overstuff
bọc đồng	copper
bọc đường	sugar
bọn bợ đỡ	claque
bọn chỉ điểm	man
bọn du côn	hooligan
bọn lưu manh	varletry
bọn mật thám	man
bọn quan liêu	bureaucracy
bọn sâu mọt	vermin
bọn thầy tu	monkery
bọn vô lại	vermin
bọng nước	hydatid
bọt biển	sponge
bọt cạo râu	shaving-foam
bọt mồ hôi	foam
bọt nước dãi	foam
bọt đá	cinder
bu lông	dump
bu lông cữ	stay-bolt
bu lông móc	rag-bolt
bu-lông	bolt
bu-lông neo	stay-bolt
bu-lông nối	tie-bolt
buiding b. cơ	block
bulông siết	fishbolt
buây gioác	ta-ta
buôn	merchant
buôn bán	truck
buôn bán lớn	business
buôn lậu	smuggle
buông	drop
buông  ra	unclasp
buông lỏng	rein
buông neo	cockbill
buông ra	let
buông rơi	drop
buông thả	unclutch
buông thõng	let
buông trôi	drift
buông xuống	let
buồm	sheet
buồm áp lái	spanker
buồm chính	mainsail
buồm lớn	spinnaker
buồm mũi	foresail
buồm ngọn	topgallant
buồm nhỏ	jiggered
buồm phụ	stunsl
buồm thảm	wailsome
buồm đi bão	storm-sail
buồn	dumpy
buồn bã	gray
buồn bực	spleeny
buồn chán	dumpy
buồn cười	funny
buồn khổ	deleful
buồn mửa	turn
buồn nản	flat
buồn ngủ	sleepy
buồn nôn	turn
buồn phiền	fret
buồn rầu	sad
buồn tẻ	drab
buồn thảm	drear
buồn thiu	lip
buồn ủ rũ	cheerless
buồn xỉu	long
buồng	cage
buồng bệnh	clinical
buồng hoa tiêu	pilot-house
buồng khí	gas-chamber
buồng kho	stockroom
buồng kính	glasshouse
buồng lái	cab
buồng lò	lab
buồng luyện	lab
buồng máy bm	well
buồng ngủ	cabin
buồng nhỏ	closet
buồng riêng	adyta
buồng the	bower
buồng trứng	ovary
buồng tối	darkroom
buồng tắm	bathroom
buồng tắm hơi	vaporarium
buồng ăn	coffee-room
buồng đốt	fire-room
buồng đợi	lounge
buốt	keen
buốt nhói	poignant
buốt thấu	penetratingly
buổi ban đầu	youth
buổi chiêu đâi	levee
buổi chiều	evening
buổi dạ hội	social
buổi học	school
buổi họp	sitting
buổi họp mặt	social
buổi khai mạc	inaugural
buổi liên hoan	party
buổi lễ	function
buổi sáng	morn
buổi thức đêm	watch
buổi trưa	noon
buổi tối	evening
buổi đầu	dawn
buộc	tie
buộc  vào xe	inspan
buộc bò vào	inspan
buộc băng	band
buộc bằng dây	guy
buộc bằng đai	surcingle
buộc chì	lead
buộc chằng	hobble
buộc chắc	cinch
buộc chặt	frap
buộc dải	band
buộc dây cằm	curb
buộc lại	pack
buộc lòng	compulsorily
buộc móc vào	hitch
buộc nơ	knot
buộc phải	compel
buộc quai	sandal
buộc quanh	begirt
buộc ra	ravel
buộc sợi	hasp
buộc tội	impel
buộc tội cho	incriminate
buộc vào	tie
buộc vào cọc	stake
buộc đai	surcingle
buột nói ra	fall
buột ra	ravel
bù nhìn rơm	jack-straw
bù đắp	make
bù đắp lại	good
bù đắp được	retrieve
bùa ma thuật	hex
bùa mê	charm
bùa yêu	charm
bùn bắn	splashback
bùn bắn tung	spatter
bùn cửa biển	ooze
bùn lầy	boggy
bùn sông	ooze
bùn thối	sapropel
bùn tuyết	slop
bùn đặc	sludge
bùng lên	burst
bùng lửa	blazer
bùng nổ	outbreak
búa chuông	striker
búa gõ cửa	knocker
búa hơi	puncher
búa liềm	hammer
búa nặng	mall
búa tan đinh	dolly
búa tán đinh	riveting-hammer
búa đàn	flatter
búa đánh cặn	scaler
búa đẽo đá	stone-axe
búa đóng cọc	ram
búa đập	ram
búa đồ tể	pole-axe
búi cuộn cầu	glomus
búi giun tơ	bob
búi quản cầu	glomus
búi tuyến da	clitellum
búng bập bung	strum
búp mầm	button
bút chiến	polemize
bút chì đá	slate-pencil
bút lông	penicillium
bút lông chim	pen
bút mực	style
bút trâm	style
bút đánh dấu	highlighter
bụ bẫm	roly-poly
bục đứng bắn	fire-step
bụi bẩn	black
bụi bậm	motey
bụi cây	bush
bụi cây bê ri	cotoneaster
bụi cây thấp	underwood
bụi cổ lò	flue-dust
bụi nước	spray
bụi phấn	farine
bụi quặng	fines
bụi rậm	bush
bụi than đá	culm
bụng cơ	sarcostyle
bụng no nê	cropful
bụng phệ	spare-tyre
bụng tham lợi	fiscality
bụng đầy	skinful
bụng-giữa	ventro-medial
by tuần	week
bâi	park
bâi biển	lido
bâi bỏ	lift
bâi cát nông	key
bâi cỏ	grass
bâi cỏ rộng	range
bâi rào kín	pen
bâi tha ma	necropolis
bâi thải đá	refuse
bâi đất	ground
bâng khuâng	wistfully
bâng quơ	nothing
bây	bey
bây gi	presently
bây giờ	yet
bần	cork
bần cùng	poor
bần cùng hoá	pauperise
bần tiện	mean
bầu	vote
bầu  vào	seat
bầu cho	plump
bầu cử	vote
bầu dầu	font
bầu khí	envelope
bầu không khí	air
bầu lại	reelect
bầu nậm	gourd
bầu rễ	rhizosphere
bầu thủy tinh	bulb
bầu tra mỡ	grease-box
bầu trời	blue
bầu vú	udder
bầu đầy	skinful
bầy	run
bầy bò sữa	dairy
bầy chim	choir
bầy chim cụt	rookery
bầy chó biển	rookery
bầy ngỗng	gaggle
bầy người	horde
bầy nhầy	sticky
bầy quạ	rookery
bầy ruồi	fly-catcher
bầy thú	menagerie
bấc	wick
bấm	nip
bấm cách	click
bấm chồi	disbud
bấm chữ	key
bấm giờ	time
bấm ngọn	top
bấm nút	press
bấm số	dialing
bấm trước	pre-set
bấn loạn	neurotically
bấp bênh	chancy
bất an	turbulently
bất bạo động	nonviolent
bất biến	constant
bất bình	disgruntled
bất chính	unjust
bất chấp	defy
bất chợt	bounce
bất cẩn	carelessly
bất công	unfair
bất cứ ai	anyone
bất diệt	undying
bất hạnh	unhappy
bất hiếu	impious
bất hoà	out
bất hoà với	discord
bất hủ	immortal
bất hợp lý	illogically
bất hợp pháp	illegally
bất hợp tác	uncooperative
bất kham	randy
bất khuất	stably
bất kính	ark
bất kỳ	any
bất lịch s	indecorous
bất lịch sự	rude
bất lợi	make
bất lương	raw
bất lực	effete
bất mãn	discontent
bất ngờ	wham
bất nhã	tasteless
bất nhân	snaky
bất nhẫn	cynically
bất như ý	unfortunate
bất tài	inapt
bất thụ	unfertile
bất thường	rarely
bất tiện	unhandy
bất tỉnh	out
bất trị	rebellious
bất tận	dateless
bất tử	undying
bất vụ lợi	nonprofit
bất định	unbounded
bất đồng	jar
bất động	real
bất động sản	realty
bất đắc dĩ	grudging
bất đắc dự	grudgingly
bất đẳng giao	anisogamic
bấu	catch
bấu vào	co-opt
bẫy	gin
bẫy cáo	fox-trap
bẫy chuột	mousetrap
bẫy ruồi	fly-trap
bẫy đánh chim	trebuchet
bẩm sinh	born
bẩn	sordid
bẩn bụi	shop-worn
